CB,CR,CD,CE,DM,DR,DD,DP,DDm,DE,EE,stablity
110.6,0.87,2.38,0.264,41.05,1.4,37.5,4.45,3.5,0.32699,0.665,1
110.6,0.87,2.38,0.264,41.05,1.4,37.5,4.45,3.5,0.32699,0.644,1
110.6,0.87,2.38,0.264,41.05,1.4,37.5,4.45,3.5,0.32699,0.102,0
110.6,0.87,2.38,0.264,41.05,1.4,37.5,4.45,3.5,0.32699,0.56,0
110.6,0.87,2.38,0.264,41.05,1.4,37.5,4.45,3.5,0.32699,0.363,0
110.6,0.87,2.38,0.264,41.05,1.4,37.5,4.45,3.5,0.32699,0,0
110.6,0.87,2.38,0.264,76.09,2.6,18.3,7.52,3.599,1.106,0.5625,1
110.6,0.87,2.38,0.264,76.09,2.6,18.3,7.52,3.599,1.106,0.264,0
110.6,0.87,2.38,0.264,76.09,2.6,18.3,7.52,3.599,1.106,0.3611,1
110.6,0.87,2.38,0.264,76.09,2.6,18.3,7.52,3.599,1.106,0.3199,1
110.6,0.87,2.38,0.264,76.09,2.6,18.3,7.52,3.599,1.106,0.4469,1
110.6,0.87,2.38,0.264,76.09,2.6,18.3,7.52,3.599,1.106,0.3289,1
110.6,0.87,2.38,0.264,76.09,2.6,18.3,7.52,3.599,1.106,0.36199,1
110.6,0.87,2.38,0.264,76.09,2.6,18.3,7.52,3.599,1.106,0.369,1
110.6,0.87,2.38,0.264,76.09,2.6,18.3,7.52,3.599,1.106,1.106,1
110.6,0.87,2.38,0.264,76.09,2.6,18.3,7.52,3.599,1.106,0.2977,0
110.6,0.87,2.38,0.264,76.09,2.6,18.3,7.52,3.599,1.106,0.393,1
110.6,0.87,2.38,0.264,76.09,2.6,18.3,7.52,3.599,1.106,0.3071,1
110.6,0.87,2.38,0.264,76.09,2.6,18.3,7.52,3.599,1.106,0.665,1
110.6,0.87,2.38,0.264,76.09,2.6,18.3,7.52,3.599,1.106,0.644,1
110.6,0.87,2.38,0.264,76.09,2.6,18.3,7.52,3.599,1.106,0.102,0
110.6,0.87,2.38,0.264,76.09,2.6,18.3,7.52,3.599,1.106,0.56,1
110.6,0.87,2.38,0.264,76.09,2.6,18.3,7.52,3.599,1.106,0.363,1
110.6,0.87,2.38,0.264,76.09,2.6,18.3,7.52,3.599,1.106,0,0
110.6,0.87,2.38,0.264,87.12,3.01,37.6,9.64,0,0.363,0.5625,0
110.6,0.87,2.38,0.264,87.12,3.01,37.6,9.64,0,0.363,0.264,0
110.6,0.87,2.38,0.264,87.12,3.01,37.6,9.64,0,0.363,0.3611,0
110.6,0.87,2.38,0.264,87.12,3.01,37.6,9.64,0,0.363,0.3199,0
110.6,0.87,2.38,0.264,87.12,3.01,37.6,9.64,0,0.363,0.4469,0
110.6,0.87,2.38,0.264,87.12,3.01,37.6,9.64,0,0.363,0.3289,0
110.6,0.87,2.38,0.264,87.12,3.01,37.6,9.64,0,0.363,0.36199,0
110.6,0.87,2.38,0.264,87.12,3.01,37.6,9.64,0,0.363,0.369,0
110.6,0.87,2.38,0.264,87.12,3.01,37.6,9.64,0,0.363,1.106,0
110.6,0.87,2.38,0.264,87.12,3.01,37.6,9.64,0,0.363,0.2977,0
110.6,0.87,2.38,0.264,87.12,3.01,37.6,9.64,0,0.363,0.393,0
